nome;morada;postal;localidade;lat;lng;codigo;
Escola Básica de Torre, Caminha;Torre - Vilar de Mouros  ;4910 - 580 vilar mouros;Vilar de Mouros;41.888626;-8.795594;1602980;
Escola Básica de Torre, Penafiel;Lug Torre  ;4575 - 374 pinheiro pnf;Pinheiro;41.12035;-8.302091;1311045;
Escola Básica de Torre, Urrô, Penafiel;Torre - Urrô  ;4560 - 000 penafiel;Urrô;41.18752;-8.337994;1311017;
Escola Básica de Torreira, Amarante;Torreira  ;4600 - 593 fregim;Fregim;41.26996;-8.113728;1301515;
Escola Básica de Toutosa, Marco de Canaveses;Rua da Estação nº 326  ;4635 - 524 toutosa;Toutosa;41.217915;-8.154793;1307664;
Escola Básica de Trandeiras, Braga;R. da Igreja  ;4700 - 905 palmeira brg;Tranderias;41.499138;-8.419459;303804;
Escola Básica de Travassós, Fafe;Vilar  ;4820 - 811 travassós faf;Travassós;41.49156;-8.19235;307010;
Escola Básica de Trevões, São João da Pesqueira;Rua da Restauração nº7  ;5130 - 421 trevões;Trevões;41.08293;-7.434381;1815704;
Escola Básica de Triana, Gondomar;Rua da Escola  ;4435 - 000 rio tinto;Triana;41.186195;-8.57849;1304026;
Escola Básica de Trigal de Santa Maria, Braga;Avenida do Ciclo  ;4705 - 671 tadim;Trigal;41.50606;-8.483452;303209;
Escola Básica de Trovela, Oliveira, Ponte de Lima;Oliveira  ;4990 - 623 fornelos ptl;Fornelos;41.72323;-8.538817;1607567;
Escola Básica de Troxainho, Amarante;Troxainho  ;4605 - 172 mancelos;Mancelos;41.289536;-8.145705;1301110;
Escola Básica de Tuberais, Cinfães;Quinta de Tuberais  ;4690 - 068 cinfães;Casal - Cinfães;41.089962;-8.093607;1804599;
Escola Básica de Turiz, Vila Verde;Telheirinhas - Turiz  ;4730 - 000 vila verde;Turiz;41.63417;-8.447693;313742;
Escola Básica de Távora, Santa Maria, Arcos de Valdevez;Lugar do Monte Aval  ;4970 - 529 távora (santa maria);Távora (Stª Maria);41.80487;-8.471521;1601073;
